from Asada - 1967 - Trans J I M,,,
Concentration,Temperature (K),CRSS (MPa),CRSS Raw (MPa)
0.011,78,9.9089496,10.8989496
0.011,172,8.6652324,9.6552324
0.011,287,5.8093596,6.7993596
0.033,78,22.4084223,23.3984223
0.033,172,18.088983,19.078983
0.033,287,15.9034095,16.8934095
0.000,287,0,0.99
